,dep,semaine,pop,P,T,Ti,Tp,Td,cl_age90
476,41,2020-S24,"327835,00","3,00","544,00","0,92","0,55","165,94",0
477,41,2020-S25,"327835,00","7,00","577,00","2,14","1,21","176,00",0
478,41,2020-S26,"327835,00","2,00","625,00","0,61","0,32","190,64",0
479,42,2020-S23,"764737,00","16,00","3136,00","2,09","0,51","410,08",0
480,42,2020-S24,"764737,00","27,00","3325,00","3,53","0,81","434,79",0
481,42,2020-S25,"764737,00","20,00","3069,00","2,62","0,65","401,31",0
482,42,2020-S26,"764737,00","21,00","3270,00","2,75","0,64","427,60",0
483,43,2020-S23,"226901,00","12,00","530,00","5,29","2,26","233,58",0
484,43,2020-S24,"226901,00","3,00","565,00","1,32","0,53","249,01",0
485,43,2020-S25,"226901,00","1,00","675,00","0,44","0,15","297,49",0
486,43,2020-S26,"226901,00","1,00","823,00","0,44","0,12","362,71",0
487,44,2020-S23,"1437137,00","59,00","4373,00","4,11","1,35","304,29",0
488,44,2020-S24,"1437137,00","53,00","4679,00","3,69","1,13","325,58",0
489,44,2020-S25,"1437137,00","38,00","4605,00","2,64","0,83","320,43",0
490,44,2020-S26,"1437137,00","28,00","4880,00","1,95","0,57","339,56",0
491,45,2020-S23,"682890,00","25,00","2547,00","3,66","0,98","372,97",0
492,45,2020-S24,"682890,00","34,00","2727,00","4,98","1,25","399,33",0
493,45,2020-S25,"682890,00","46,00","2696,00","6,74","1,71","394,79",0
494,45,2020-S26,"682890,00","27,00","2873,00","3,95","0,94","420,71",0
495,46,2020-S23,"173166,00","0,00","321,00","0,00","0,00","185,37",0
496,46,2020-S24,"173166,00","0,00","290,00","0,00","0,00","167,47",0
497,46,2020-S25,"173166,00","0,00","274,00","0,00","0,00","158,23",0
498,46,2020-S26,"173166,00","0,00","279,00","0,00","0,00","161,12",0
499,47,2020-S23,"330336,00","1,00","632,00","0,30","0,16","191,32",0
500,47,2020-S24,"330336,00","5,00","912,00","1,51","0,55","276,08",0
501,47,2020-S25,"330336,00","0,00","830,00","0,00","0,00","251,26",0
502,47,2020-S26,"330336,00","3,00","591,00","0,91","0,51","178,91",0
